"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"05 Servicing","21-22","RBC - Dutch Meadows","5.6","2753170.52","2021-11-16","2045-11-30",22,"2023-11-30","2023-11-29",2,"18753170.52","16000000","23240966.55","2100000","22700000","27100000","10.1593008118081","59.0405904059041","69.1998912177122","1.3","East Glenville","NY","Multifamily","New Construction","Energize New York (NY State)","2021","2045"
"05 Servicing","21-15","Vortex Cold Storage","6","4079581","2021-06-04","2042-10-15",20,"2023-02-18","2023-02-17",2,"29079581","25000000","37393726.00","1580000","35030000","36500000","11.1769342465753","68.4931506849315","79.6700849315068","1.49","Albert Lea","MN","Industrial","New Construction","Minnesota PACE","2021","2042"
"05 Servicing","21-14","UEP - Rockford","5.75","1423229","2021-06-03","2047-09-02",25,"2022-12-22","2022-12-21",2,"5559618","4136389","6547913.00","35000","6350000","6400000","22.237953125","64.631078125","86.86903125","1.26","Rockford","IL","Multifamily","New Construction","Illinois Energy Conservation Authority","2021","2047"
"05 Servicing","21-13","New Circle - Manchester","5.6","7999040","2021-09-10","2053-01-01",30,"2023-03-30","2023-03-29",1,"25697973","17698933","35520580.00","810000","36670000","38000000","21.0501052631579","46.5761394736842","67.6262447368421","1.63","Lexington","KY","Hotel","New Construction","Energize Kentucky - Lexington-Fayette County EPAD","2021","2053"
"05 Servicing","21-12","Wallick - Oakleaf Meadow Valley","5.25","18583702","2021-12-08","2046-11-30",23,"2023-12-30","2023-12-29",1,"62583702","44000000","73153400.00","2710000","75300000","86300000","21.5338377752028","50.9849362688297","72.5187740440324","1.36","Traverse City (Garfield Township)","MI","Assisted Living","New Construction","Lean & Green Michigan","2021","2046"
"05 Servicing","21-09","Nu-Tek - HQ","6.4","2970890","2021-07-08","2042-10-15",20,"2023-02-18","2023-02-17",2,"21970890","19000000","41952048.00","420000","26500000","26500000","11.2109056603774","71.6981132075472","82.9090188679245","1.27","Austin","MN","Industrial","New Construction","Minnesota PACE","2021","2042"
"05 Servicing","21-08","Bamp - West Bend","5.99","1413963","2021-04-30","2042-07-30",20,"2022-11-30","2022-11-29",2,"5513963","4100000","6313963.00","3700000","6000000","6000000","23.56605","68.3333333333333","91.8993833333333","1.25","West Bend","WI","Industrial","Retrofit","Wisconsin PACE Commission ","2021","2042"
"05 Servicing","21-07","City - Kiddie Academy","5.8","1133202","2021-05-26","2044-11-30",23,"2022-01-31","2022-01-30",2,"6133202","5000000","6845030.00","1250000","6400000","8375000","13.5307701492537","59.7014925373134","73.2322626865672","3.28","Gretna","NE","Special Purpose / Other","New Construction","Nebraska - La Visa PACE District","2021","2044"
"05 Servicing","20-38","NAP - Luna Apartments","5.7","10500712","2021-06-14","2052-11-01",30,"2023-05-03","2023-05-02",1,"45500712","35000000","57459393.00","2570000","65400000","67140000","15.6400238308013","52.1298778671433","67.7699016979446","1.39","Melbourne","FL","Multifamily","New Construction","FDFC PACE","2021","2052"
"05 Servicing","20-36","Lotus - Holiday Inn Express Hollister","5.8","4585574","2021-01-20","2052-04-10",30,"2022-09-03","2022-09-02",2,"13974074","9388500","18843772.00","710000","17700000","19460000","23.5641007194245","48.2451181911614","71.8092189105858","1.39","Hollister","CA","Hotel","New Construction","CaliforniaFIRST","2021","2052"
"05 Servicing","20-29","Moon - JW Marriott Dallas","6","5059884","2021-02-05","2043-11-30",21,"2023-01-01","2022-12-31",2,"112059884","107000000","119934823.77","8500000","145500000","166000000","3.04812289156627","64.4578313253012","67.5059542168675","1.85","Dallas","TX","Hotel","New Construction","Texas PACE Authority","2021","2043"
"05 Servicing","20-22","CRS - Cambria Shelby","6.05","3634320","2020-11-25","2045-11-30",24,"2021-11-30","2021-11-29",2,"10876820","7242500","14876820.00","9900000","12700000","14100000","25.7753191489362","51.3652482269504","77.1405673758865","1.36","Shelby Charter Township","MI","Hotel","New Construction","Lean & Green Michigan","2020","2045"
"05 Servicing","20-21","LREH - 6200 Penn","5.7","3938317","2020-11-12","2041-10-15",20,"2022-02-18","2022-02-17",2,"30250317","26312000","39571746.00","3300000","38400000","40270000","9.77977899180531","65.3389620064564","75.1187409982617","1.15","Richfield","MN","Multifamily","New Construction","Minnesota PACE","2020","2041"
"05 Servicing","20-19","CRS - 46900 Port Street Plymouth","5.75","771393","2020-09-29","2042-11-30",22,"2020-11-30","2020-11-29",2,"3891393","3120000","7977640.00","3400000","3900000","3900000","19.7793076923077","80","99.7793076923077","1.31","Plymouth","MI","Office","Retrofit","Lean & Green Michigan","2020","2042"
"05 Servicing","20-15","F Street - Appleton Industrial","5.5","1998390","2020-09-29","2046-07-30",25,"2021-11-30","2021-11-29",2,"10280610","8282220","14013576.57","475000","13450000","15400000","12.9765584415584","53.7806493506493","66.7572077922078","1.41","Appleton","WI","Industrial","New Construction","Wisconsin PACE Commission ","2020","2046"
"05 Servicing","20-14","Jeffers - 633 Clark","5.7","1588941","2020-08-17","2045-06-30",25,"2021-01-01","2020-12-31",2,"16588941","15000000","24732687.00","22000000","22000000","22000000","7.22245909090909","68.1818181818182","75.4042772727273","1.49","MIlwaukee","WI","Office","Retrofit","Milwaukee Me2","2020","2045"
"05 Servicing","20-13","Sitaram - Hyatt San Carlos","5.7","3576609","2020-09-02","2052-04-10",30,"2022-09-03","2022-09-02",2,"29576609","26000000","49348334.00","8600000","46000000","50000000","7.153218","52","59.153218","1.59","San Carlos","CA","Hotel","New Construction","CSCDA Open PACE","2020","2052"
"05 Servicing","20-09","Harris Bay - Travis","5.6","5092684","2021-12-15","2043-11-30",21,"2023-01-01","2022-12-31",2,"21313371","16220687","29360587.73","14500000","29200000","30900000","16.4811779935275","52.4941326860841","68.9753106796117","1.11","San Antonio","TX","Multifamily","Major Renovation","Texas PACE Authority","2021","2043"
